,Tile,Response,Timestamp,UserID
0,uzb-kzk-01012,1,2023-06-13 04:46:07,Skyler
1,chn-mya-04189,0,2023-06-13 04:46:19,Skyler
2,eth-sud-00640,0,2023-06-13 04:48:10,Skyler
3,lib-egy-02134,0,2023-06-13 04:48:12,Skyler
4,cao-cha-02209,0,2023-06-13 04:48:13,Skyler
5,taz-mzm-00188,1,2023-06-13 04:48:14,Skyler
6,arm-aze-00003,0,2023-06-13 04:48:16,Skyler
7,mex-gua-00863,1,2023-06-13 04:48:17,Skyler
8,mor-alg-03830,1,2023-06-13 04:48:19,Skyler
9,rus-kzk-06437,1,2023-06-13 04:49:37,Skyler
10,chn-ind-01237,0,2023-06-13 04:49:39,Skyler
11,par-arg-04193,0,2023-06-13 04:49:41,Skyler
12,rus-fin-01078,1,2023-06-13 04:51:25,Skyler
13,hon-sal-00813,1,2023-06-13 04:51:27,Skyler
14,nam-bot-02107,1,2023-06-13 04:51:28,Skyler
15,usa-mex-01027,1,2023-06-13 04:56:18,Skyler
16,leb-isr-00048,1,2023-06-13 04:56:19,Skyler
17,drc-zam-00680,0,2023-06-13 04:56:21,Skyler
18,rus-blr-02571,1,2023-06-13 04:56:23,Skyler
19,per-bra-01038,1,2023-06-13 04:56:24,Skyler
20,taz-rwa-00155,1,2023-06-13 04:56:25,Skyler
21,per-bra-01826,0,2023-06-13 04:56:26,Skyler
22,col-per-01975,0,2023-06-13 04:56:31,Skyler
23,guy-bra-03160,0,2023-06-19 19:40:06,wehrwes
24,mld-rom-00991,1,2023-06-19 19:40:08,wehrwes
25,cro-bos-00517,0,2023-06-19 19:40:11,wehrwes
26,kzk-chn-01164,0,2023-06-19 19:40:13,wehrwes
27,mzm-zam-00855,0,2023-06-19 19:40:16,wehrwes
28,usa-can-07237,0,2023-06-19 19:40:17,wehrwes
29,mli-alg-01503,0,2023-06-19 19:40:19,wehrwes
30,sud-ssd-05192,1,2023-06-19 19:40:23,wehrwes
31,bra-uru-00722,1,2023-06-20 21:05:45,Skyler
32,eth-ssd-02192,1,2023-06-20 21:05:46,Skyler
33,gui-lbr-00856,0,2023-06-22 11:34:17,kenwick
34,ind-mya-03858,1,2023-06-22 11:34:25,kenwick
35,fin-swd-01307,1,2023-06-22 11:34:37,kenwick
36,sud-egy-03542,0,2023-06-22 11:34:40,kenwick
37,mzm-zim-02409,0,2023-06-22 11:34:43,kenwick
38,gmy-aus-00513,0,2023-06-22 20:30:14,schwartz
39,con-drc-01555,0,2023-06-22 20:30:20,schwartz
40,frn-swz-00845,0,2023-06-22 20:30:26,schwartz
41,mzm-zam-00314,1,2023-06-22 20:30:31,schwartz
42,arm-tur-00463,1,2023-06-22 20:30:40,schwartz
43,sau-yem-01550,0,2023-06-22 20:30:45,schwartz
44,bra-par-02446,0,2023-06-22 20:30:50,schwartz
45,bol-par-00859,0,2023-06-22 20:30:53,schwartz
46,gab-con-02674,1,2023-06-22 20:36:11,schwartz
47,ind-pak-04880,1,2023-06-22 20:36:18,schwartz
48,mzm-maw-00315,0,2023-06-22 20:36:24,schwartz
49,rus-lit-00056,1,2023-06-22 20:36:28,schwartz
50,alb-grc-00259,0,2023-06-22 20:36:34,schwartz
51,gmy-pol-01029,0,2023-06-22 20:36:40,schwartz
52,uzb-kzk-01012,0,2023-06-22 20:36:48,schwartz
53,chn-mya-01525,1,2023-06-22 20:36:52,schwartz
54,cdi-bfo-01554,0,2023-06-22 20:36:57,schwartz
55,irn-tkm-01217,1,2023-06-22 20:37:02,schwartz
56,mli-cdi-01258,1,2023-06-22 20:37:06,schwartz
57,rus-chn-00198,1,2023-06-22 20:37:13,schwartz
58,irn-tkm-00688,1,2023-06-22 20:37:17,schwartz
59,drc-rwa-00078,1,2023-06-22 20:37:20,schwartz
60,cha-lib-00323,0,2023-06-22 20:37:24,schwartz
61,irq-kuw-00188,1,2023-06-22 20:37:26,schwartz
62,ven-bra-00918,0,2023-06-22 20:37:29,schwartz
63,taj-uzb-02327,0,2023-06-22 20:37:33,schwartz
64,col-per-02780,0,2023-06-22 20:37:35,schwartz
65,col-per-00778,0,2023-06-22 20:37:36,schwartz
66,gab-con-00440,0,2023-06-22 20:37:40,schwartz
67,mzm-zam-00685,0,2023-06-22 20:37:43,schwartz
68,ind-nep-02429,1,2023-06-22 20:37:45,schwartz
69,mya-thi-04263,0,2023-06-22 20:37:54,schwartz
70,drc-ang-02110,1,2023-06-22 20:37:57,schwartz
71,bra-bol-03095,0,2023-06-22 20:37:59,schwartz
72,usa-mex-03140,1,2023-06-22 20:38:03,schwartz
73,drc-zam-00680,0,2023-06-22 20:38:06,schwartz
74,irq-syr-01345,1,2023-06-22 20:38:08,schwartz
75,kzk-chn-01164,0,2023-06-22 20:38:12,schwartz
76,mya-lao-00058,0,2023-06-22 20:38:21,schwartz
77,nam-bot-03240,1,2023-06-22 20:38:25,schwartz
78,bra-bol-03003,0,2023-06-22 20:38:29,schwartz
79,con-drc-02872,0,2023-06-22 20:38:31,schwartz
80,irq-sau-00356,0,2023-06-22 20:38:35,schwartz
81,cdi-lbr-01501,1,2023-06-22 20:38:37,schwartz
82,zim-bot-00433,1,2023-06-22 20:38:39,schwartz
83,saf-les-01076,1,2023-06-22 20:38:44,schwartz
84,sen-gui-00703,1,2023-06-22 20:38:46,schwartz
85,ang-zam-00833,0,2023-06-22 20:38:49,schwartz
86,aus-slv-00215,0,2023-06-22 20:38:55,schwartz
87,sud-ssd-03029,1,2023-06-22 20:38:58,schwartz
88,rus-kzk-10555,1,2023-06-22 20:39:01,schwartz
89,usa-mex-04412,1,2023-06-22 20:39:04,schwartz
90,cen-cha-00419,1,2023-06-22 20:39:08,schwartz
91,bra-par-02265,1,2023-06-22 20:39:09,schwartz
92,ven-bra-02954,0,2023-06-22 20:39:12,schwartz
93,aze-irn-00302,0,2023-06-22 20:39:16,schwartz
94,mor-alg-03215,0,2023-06-22 20:39:19,schwartz
95,bra-par-02854,1,2023-06-22 20:39:21,schwartz
96,alg-lib-01061,0,2023-06-22 20:39:25,schwartz
97,rus-mon-05297,0,2023-06-22 20:39:27,schwartz
98,gmy-pol-01155,1,2023-06-22 20:39:31,schwartz
99,taj-uzb-01573,0,2023-06-22 20:39:34,schwartz
100,cen-cha-00430,1,2023-06-22 20:39:36,schwartz
101,cen-cha-03589,1,2023-06-22 20:39:39,schwartz
102,ang-zam-00327,1,2023-06-22 20:39:41,schwartz
103,par-arg-04193,0,2023-06-22 20:39:43,schwartz
104,grc-tur-00007,1,2023-06-22 20:39:45,schwartz
105,rus-kzk-00160,0,2023-06-22 20:39:47,schwartz
106,sud-egy-04075,0,2023-06-22 20:39:49,schwartz
